개관 일자,도서관명,운영 기관,주소,전화 번호,데이터 기준일
20171014,제주꿈바당어린이도서관,평생교육장학진흥원,제주시 연오로 140,064-745-7101,20211123
20081113,한라도서관,제주도청,제주시 오남로 221,064-710-8666,20211123
19840217,우당도서관,제주시청,제주시 사라봉동길 30,064-722-3391,20211123
20040505,제주기적의도서관,제주시청,제주시 동광로 12길 19,064-710-6546,20211123
19890630,탐라도서관,제주시청,제주시 정원로 50,064-742-7395,20211123
19970501,애월도서관,제주시청,제주시 애월읍 일주서로 6339,064-799-8488,20211123
19990412,조천읍도서관,제주시청,제주시 조천읍 일주동로 1189,064-784-6003,20211123
20020801,한경도서관,제주시청,제주시 한경면 신한로 13,064-772-3722,20211123
19941018,서귀포시중앙도서관,서귀포시청,서귀포시 김정문화로 32,064-739-1516,20211123
19860701,서귀포시삼매봉도서관,서귀포시청,서귀포시 남성중로3번길 15,064-733-1524,20211123
20000929,서귀포시동부도서관,서귀포시청,서귀포시 일주동로 8232,064-767-1526,20211123
20060202,서귀포시서부도서관,서귀포시청,서귀포시 중문관광로 346,064-739-9862,20211123
20040505,서귀포기적의도서관,서귀포시청,서귀포시 일주동로 8593,064-732-3251,20211123
19980612,성산일출도서관,서귀포시청,서귀포시 성산읍 고성오조로 133,064-730-1486,20211123
20010115,안덕산방도서관,서귀포시청,서귀포시 안덕면 화순서서로 44,064-794-2489,20211123
20020220,표선도서관,서귀포시청,서귀포시 표선면 표선백사로110번길 17-10,064-787-5488,20211123
19571101,제주도서관,교육청,제주시 연삼로 489,064-756-4073,20211123
19901220,송악도서관,교육청,서귀포시 대정읍 동일하모로149번길 12,064-794-3476,20211123
19901203,한수풀도서관,교육청,제주시 한림읍 한림상로 240-11,064-796-0601,20211123
19950524,동녘도서관,교육청,제주시 구좌읍 일주동로 3132,064-782-5304,20211123
19960611,제남도서관,교육청,서귀포시 남원읍 남원체육관로 183,064-764-4651,20211123
19640612,서귀포학생문화원,교육청,서귀포시 중앙로 150번길 4-1,,20211123
